VesselFlagCountry,year,wg,stock,species,CatchCategory,quarter,faoArea,fishManUnit,FAC_EC_lvl6,fleet,domainCatchDis,domainCatchBMS,domainBiology,variableType,total,comment
DK,2023,WGBFAS,cod.27.21,126436,BMS,2,27.3.a.21,NA,GNS_CRU_>0_0_0,Passive,,,,officialWeight_kg,24.1766131254208,
DK,2023,WGBFAS,cod.27.21,126436,BMS,2,27.3.a.21,NA,GNS_DEF_120-219_0_0,Passive,,,,officialWeight_kg,78.8564161988808,
DK,2023,WGBFAS,cod.27.21,126436,BMS,2,27.3.a.21,NA,GNS_DEF_>=220_0_0,Passive,,,,officialWeight_kg,46.8819690363153,
DK,2023,WGBFAS,cod.27.21,126436,BMS,2,27.3.a.21,NA,MIS_MIS_0_0_0,Passive,,,,officialWeight_kg,52.0371096037028,
DK,2023,WGBFAS,cod.27.21,126436,BMS,2,27.3.a.21,NA,OTB_CRU_90-119_0_0,Active,,,,officialWeight_kg,2670.29896859259,
DK,2023,WGBFAS,cod.27.21,126436,BMS,2,27.3.a.21,NA,OTB_DEF_90-119_0_0,Active,,,,officialWeight_kg,39.8579392672298,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,GNS_CRU_>0_0_0,Passive,,,,officialWeight_kg,14.8045953352623,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,GNS_DEF_100-119_0_0,Passive,,,,officialWeight_kg,1.73933937544842,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,GNS_DEF_120-219_0_0,Passive,,,,officialWeight_kg,9.58208595470575,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,GNS_DEF_>=220_0_0,Passive,,,,officialWeight_kg,1.73933937544842,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,MIS_MIS_0_0_0,Passive,,,,officialWeight_kg,53.8341868088867,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,OTB_CRU_90-119_0_0,Active,,,,officialWeight_kg,1675.82338046707,
DK,2023,WGBFAS,cod.27.21,126436,BMS,3,27.3.a.21,NA,OTB_DEF_90-119_0_0,Active,,,,officialWeight_kg,61.3796469251662,
DK,2023,WGBFAS,cod.27.21,126436,BMS,4,27.3.a.21,NA,GNS_DEF_120-219_0_0,Passive,,,,officialWeight_kg,23.3749366904438,
DK,2023,WGBFAS,cod.27.21,126436,BMS,4,27.3.a.21,NA,MIS_MIS_0_0_0,Passive,,,,officialWeight_kg,159.803112868608,
DK,2023,WGBFAS,cod.27.21,126436,BMS,4,27.3.a.21,NA,OTB_CRU_90-119_0_0,Active,,,,officialWeight_kg,4344.24367998192,
DK,2023,WGBFAS,cod.27.21,126436,BMS,4,27.3.a.21,NA,OTB_DEF_90-119_0_0,Active,,,,officialWeight_kg,423.96886988127,
DK,2023,WGBFAS,cod.27.21,126436,BMS,4,27.3.a.21,NA,SDN_DEF_>=120_0_0,Active,,,,officialWeight_kg,22.6024293724069,
